t,Vin,Vout RC = 1,Vout RC = 0.1,Vout RC = 0.01
1.77,-1.0,-0.2443068521683702,-0.9990943598759273,-1.0
1.78,-1.0,-0.25182612462328074,-0.9991805428542344,-1.0
1.79,-1.0,-0.25927057906718587,-0.9992585244448683,-1.0
1.8,-1.0,-0.2666409599517336,-0.9993290851123835,-1.0
1.81,-1.0,-0.2739380043211542,-0.9993929310503763,-1.0
1.82,-1.0,-0.2811624418859655,-0.9994507012492949,-1.0
1.83,-1.0,-0.28831499509594416,-0.9995029738916589,-1.0
1.84,-1.0,-0.2953963792123716,-0.9995502721386939,-1.0
1.85,-1.0,-0.3024073023795605,-0.9995930693662954,-1.0
1.86,-1.0,-0.3093484656956698,-0.9996317939027254,-1.0
1.87,-1.0,-0.3162205632828155,-0.9996668333154572,-1.0
1.8800000000000001,-1.0,-0.32302428235648284,-0.999698538290075,-1.0
1.8900000000000001,-1.0,-0.3297603032942489,-0.9997272261400458,-1.0
1.9000000000000001,-1.0,-0.3364292997038207,-0.9997531839824937,-1.0
1.9100000000000001,-1.0,-0.3430319384903966,-0.9997766716117596,-1.0
1.92,-1.0,-0.3495688799233574,-0.9997979240995055,-1.0
1.93,-1.0,-0.3560407777022937,-0.9998171541473864,-1.0
1.94,-1.0,-0.3624482790223766,-0.9998345542158357,-1.0
1.95,-1.0,-0.36879202463907756,-0.9998502984502712,-1.0
1.96,-1.0,-0.3750726489322446,-0.9998645444239972,-1.0
1.97,-1.0,-0.3812907799695409,-0.9998774347152486,-1.0
1.98,-1.0,-0.3874470395692518,-0.9998890983341587,-1.0
1.99,-1.0,-0.3935420433624674,-0.9998996520139344,-1.0
2.0,1.0,-0.39957640085464613,-0.9999092013791584,-1.0
2.0100000000000002,1.0,-0.38565038298656573,-0.8095928420029143,0.25
2.02,1.0,-0.37186293131147324,-0.637387463175812,0.71875
2.0300000000000002,1.0,-0.35821266707271177,-0.48156957871134376,0.89453125
2.04,1.0,-0.3446982252324824,-0.3405797136772255,0.96044921875
2.05,1.0,-0.33131825433533924,-0.21300679667441655,0.98516845703125
2.06,1.0,-0.3180714163730428,-0.0975740373858874,0.9944381713867188
2.07,1.0,-0.3049563866507581,0.006873851946847129,0.9979143142700195
2.08,1.0,-0.2919718536545838,0.10138221901095527,0.9992178678512573
2.09,1.0,-0.2791165189204,0.18689693359432524,0.9997067004442215
